X1,X2,Y
-0.286594,1.277344,1
0.2809551,0.3716873,1
0.05858792,1.611417,1
-0.1937381,1.613125,1
-0.05279506,1.12719,1
-0.1356604,1.393565,1
-0.1572847,0.8676751,1
-0.2226373,1.415096,1
0.2786116,1.157795,1
0.5860766,0.01202335,1
0.3922339,0.7573725,1
0.3447611,0.6494309,1
0.5150807,0.7083983,1
0.3271655,0.7588947,1
-0.2345602,1.344286,1
-0.2134365,1.423283,1
0.5192515,0.06643105,1
-0.03241767,0.9221945,1
-0.1383732,0.8923428,1
0.1425986,1.064494,1
0.1587483,0.5786367,1
-0.09199593,0.4618808,1
-0.2640505,1.144848,1
0.1152997,0.5877667,1
0.1365603,1.170236,1
0.6509259,0.5653845,1
-0.4434786,1.482482,1
0.002292691,0.9240527,1
-0.1267147,1.484764,1
0.3552668,0.4786966,1
0.3002037,0.7764631,1
-0.05558937,1.096217,1
0.1413408,0.9551214,1
0.658303,0.5641773,1
0.03611663,1.120775,1
0.3868569,0.5151674,1
0.4354807,0.3078036,1
-0.09514377,1.040144,1
0.05191162,0.9127517,1
0.1084454,0.8179237,1
-0.02770121,1.118748,1
0.102983,1.317491,1
0.06515741,1.055942,1
-0.1323718,1.110892,1
-0.07232933,1.162165,1
0.6767645,0.7456834,1
0.02655527,1.106775,1
0.3690148,0.6936733,1
0.3841128,0.5165541,1
0.3077062,0.8354123,1
-0.4421597,1.426517,1
-0.314319,1.462198,1
0.646689,0.4075295,1
-0.4054997,1.264482,1
0.6565474,0.7928798,1
0.4718043,0.6021872,1
-0.1285597,1.501101,1
0.1476109,0.9405873,1
-0.5744733,1.763448,1
-0.1759281,1.108719,1
0.2184685,1.1426,1
0.2233529,0.9815116,1
0.224911,0.6497532,1
0.06683913,0.816774,1
0.1253959,1.048769,1
-0.0705274,1.353627,1
0.3553232,0.9835973,1
-0.05949639,1.292274,1
-0.06404952,0.8301361,1
0.006606803,1.077289,1
0.1453434,1.028325,1
0.1427359,1.134364,1
0.272414,0.7355218,1
1.081394,0.02023343,1
-0.3137788,1.246224,1
-0.17453,1.509109,1
-0.2401363,1.169849,1
0.009035731,0.862681,1
-0.1989398,1.339638,1
-0.06541881,1.078451,1
0.1176217,0.4773123,1
0.310943,0.4823695,1
0.0115427,0.963472,1
0.5285621,0.5458276,1
-0.1201777,0.6145929,1
0.2341648,0.6475697,1
0.6886937,-0.03333062,1
0.1794267,0.9776759,1
0.4103709,1.11342,1
0.3595665,0.7465409,1
0.5370379,0.323881,1
0.1102239,0.9040694,1
0.4129823,0.7440945,1
-0.2867562,1.338234,1
-0.4195592,1.329639,1
0.1823839,1.001576,1
-0.1654764,0.8143635,1
-0.4874725,1.552922,1
0.4338587,0.3450607,1
0.05314849,1.523646,1
0.1896717,0.9898192,1
0.7169592,0.4646021,1
0.1254382,0.4112666,1
-0.2738875,1.574232,1
0.2596077,0.9057169,1
0.2057062,0.9094148,1
0.3829177,0.5437684,1
0.2696734,0.7697523,1
0.6538856,0.5361276,1
0.08296474,1.038409,1
0.2042073,1.228949,1
-0.09003966,1.211795,1
0.2140312,0.7966226,1
0.03772024,0.889776,1
0.573463,0.7086971,1
-0.2716098,1.614918,1
0.2537222,0.4488896,1
0.6885469,0.2116359,1
0.05156422,0.6569479,1
0.4292197,0.06121693,1
-0.1254122,0.7123595,1
0.1169131,0.8221911,1
0.5324313,0.5387884,1
0.2136237,0.4448116,1
-0.191152,1.099849,1
0.372715,1.075439,1
0.4434442,0.8206884,1
0.5506775,0.8104292,1
0.6403569,0.6966022,1
-0.1970109,1.619344,1
-0.4538029,1.249977,1
0.1583584,1.449861,1
-0.169084,1.171853,1
0.02679295,0.9644709,1
0.5127503,0.4081735,1
-0.110533,1.439726,1
0.3737503,0.8639802,1
-0.3490688,1.057582,1
0.08216157,0.9413426,1
0.2586113,0.6861461,1
0.09288176,1.41345,1
-0.01267914,1.232106,1
-0.3763942,1.527424,1
-0.2508452,0.8189124,1
-0.1721562,1.240853,1
0.2187299,0.9843999,1
0.09223901,0.7398558,1
-0.4057461,1.128072,1
0.1832142,1.171834,1
0.1834477,0.8606352,1
0.1197283,0.8612237,1
0.4239222,0.9353016,1
0.5839069,0.8702724,1
0.3357425,0.5234233,1
0.3076684,0.9822521,1
0.2268163,0.6905081,1
0.3179516,0.6136014,1
0.4149269,1.079065,1
0.1132193,0.9532639,1
0.2655755,0.7359334,1
0.6108843,0.2854477,1
-0.2039905,1.556786,1
0.06902926,1.453985,1
-0.6417555,1.935219,1
-0.1168879,1.460771,1
0.1768419,1.176403,1
0.3289805,0.9196359,1
0.1566089,0.3132752,1
0.3019191,0.8532047,1
-0.03471338,0.6822538,1
0.231813,0.9862218,1
0.5732175,0.6291953,1
0.1583587,1.421319,1
0.08879491,0.5338506,1
-0.07448436,0.418143,1
-0.0879658,1.173368,1
0.4434301,0.3791671,1
0.5819015,0.8230542,1
-0.2180617,1.171292,1
-0.3674267,1.0749,1
-0.5400921,1.482083,1
0.8424717,0.2328606,1
-0.4220234,1.300292,1
0.5062599,1.116282,1
-0.2386252,0.9457428,1
0.2397035,0.9156198,1
0.4954609,0.9018048,1
-0.1655223,1.188973,1
-0.08059063,0.5102169,1
-0.4536356,1.374332,1
-0.02473127,1.100404,1
0.2718029,0.9898076,1
-0.1298529,1.438123,1
-0.07901187,1.412485,1
0.4133284,0.6107903,1
0.5007484,0.6400806,1
0.05691885,1.077488,1
0.302881,0.4916755,1
0.2460015,0.5505149,1
0.3008857,0.7313554,1
-0.3458882,1.404905,1
0.4417743,0.920739,1
0.06725147,0.7354694,1
0.7931393,-0.1532395,1
-0.07615702,1.001078,1
0.2409198,0.6619941,1
0.4136305,0.5683436,1
0.008815071,0.8159179,1
0.5228225,0.282529,1
-0.1684938,1.304285,1
0.4214724,0.8513686,1
-0.9217722,2.214963,1
0.3262977,0.8693078,1
-0.2075347,1.07848,1
0.3421871,0.9520177,1
0.1313566,0.4853634,1
0.5197846,1.164962,1
0.5826818,0.1561541,1
0.2433728,1.087426,1
0.5956557,0.7732324,1
0.8482785,0.1701287,1
0.3000759,0.5033307,1
-0.2268239,1.539467,1
-0.2113119,1.466644,1
0.07286614,0.9369666,1
-0.004066646,1.045382,1
0.1686372,0.4391359,1
-0.089512,0.8880931,1
0.07854751,0.8668994,1
-0.03797088,0.8389952,1
0.1709238,1.124498,1
-0.08975148,0.3606857,1
-0.4795539,1.961239,1
-0.4068264,1.249213,1
-0.08379063,1.227768,1
0.355746,0.7201275,1
0.4816775,0.5831114,1
0.3570757,0.8687515,1
0.3480456,0.4424355,1
0.1130901,0.7859194,1
-0.146087,1.760037,1
0.3168537,1.366726,1
-0.2727044,1.402901,1
0.3356533,0.8645773,1
0.400761,0.7675324,1
0.2856508,0.9508703,1
-0.05385041,0.8176255,1
-0.3284834,1.316521,1
0.09393458,1.00338,1
-0.07312535,1.736723,1
0.6568668,0.7303022,1
0.4570851,0.2973774,1
0.6213794,0.3983967,1
0.1044642,1.029179,1
0.4592979,0.4267104,1
-0.3419962,0.9772254,1
0.3351697,0.6557537,1
0.4616112,0.632896,1
0.439235,0.6551758,1
0.4068518,0.7323864,1
0.5154209,0.6952427,1
-0.2839792,1.329422,1
0.2266995,0.8245377,1
0.5953623,0.3258772,1
0.2716358,0.7015479,1
0.4223516,0.8845545,1
0.13791,0.6257783,1
-0.05242933,1.106306,1
0.1578546,0.7811571,1
0.2465773,0.5315,1
0.2360994,1.144688,1
0.2377838,1.115488,1
0.3442909,0.5333398,1
0.88273,0.3313571,1
0.08942026,0.4323375,1
0.2030442,0.3532262,1
0.2361322,0.8500702,1
0.4427527,0.2028849,1
0.2667024,0.6816481,1
-0.1992707,1.225745,1
0.7588953,0.8076331,1
-0.3328641,1.211878,1
-0.1445406,1.627972,1
0.3631666,0.796698,1
0.4978813,0.3335592,1
0.0907406,0.9029877,1
-0.1370755,1.104328,1
0.8391763,0.1702519,1
0.01894373,0.9894094,1
0.2274999,0.7003365,1
0.4637528,0.2536023,1
0.3930757,0.8850002,1
0.3160028,0.9843977,1
-0.08845389,1.185418,1
0.01628866,0.4877283,1
0.3353682,0.9500755,1
0.000899281,1.00829,1
-0.3634965,1.448035,1
-0.2660153,1.677023,1
-0.02026515,1.440114,1
0.01847741,0.9215605,1
0.5503688,0.3211718,1
0.4507458,0.7722934,1
0.6214211,0.2145812,1
-0.07754186,1.270623,1
0.1765043,0.2817258,1
0.4040599,0.7207225,1
0.2824268,0.6615263,1
0.08872987,1.28364,1
0.41231,1.045473,1
0.1170573,1.298493,1
0.3812445,1.000794,1
0.4828461,0.6503667,1
0.5528031,0.7650811,1
0.2804768,0.8297932,1
0.4879033,0.6921083,1
-0.1633306,1.070178,1
0.706505,0.6463603,1
0.7052205,-0.0399844,1
0.1668154,0.5823581,1
-0.1837533,1.12357,1
0.2482203,0.383383,2
0.2584415,0.4195308,2
0.2128281,0.3172424,2
0.3078625,0.3230316,2
0.03712812,0.2300043,2
0.1209839,0.3726299,2
0.641272,0.487976,2
0.4752947,0.421685,2
0.5390344,0.5023258,2
0.4579329,0.3202876,2
0.3121766,0.3278049,2
0.360419,0.4919215,2
0.2840049,0.2957987,2
0.4669641,0.2714771,2
0.3914082,0.3773001,2
0.1641079,0.3731434,2
0.2920353,0.3319724,2
-0.02221176,0.1701051,2
0.2670453,0.4235084,2
0.1770296,0.2275648,2
0.04650831,0.3247543,2
0.2798064,0.3944122,2
0.3775587,0.4589525,2
0.1214617,0.2961965,2
0.6420058,0.4904129,2
0.2961991,0.3538319,2
0.2138494,0.2125725,2
0.1419983,0.3778725,2
0.3959002,0.1547029,2
0.3616144,0.3679588,2
0.01821882,0.1879689,2
0.2827427,0.4142073,2
0.4983615,0.3967588,2
0.1333831,0.1992487,2
0.4347601,0.2630407,2
0.1774137,0.3402618,2
0.120983,0.2858026,2
0.2854566,0.1912941,2
0.1559613,0.3409422,2
0.3093234,0.4476057,2
0.2282019,0.3167383,2
0.4447241,0.4177044,2
0.06052309,0.3672293,2
0.5706488,0.4023859,2
0.3611362,0.382939,2
0.07401245,0.3688956,2
0.09374175,0.3597413,2
0.4704431,0.4083294,2
0.2906576,0.4513306,2
0.01807633,0.2992699,2
0.002856313,0.4025392,2
0.2476195,0.2951473,2
0.4783524,0.3653584,2
0.1756771,0.2633601,2
0.4323974,0.3461615,2
0.1310071,0.2413555,2
0.433454,0.3128249,2
0.3128581,0.3376111,2
0.1377674,0.2010594,2
0.3329733,0.3539935,2
0.2387306,0.3634364,2
0.2565874,0.4401661,2
0.2157788,0.2953374,2
0.128774,0.241655,2
0.4674613,0.5192139,2
0.4418691,0.3657743,2
0.2098703,0.4405524,2
0.2217746,0.4541118,2
0.1117347,0.4073398,2
0.3019755,0.3861767,2
0.1681613,0.2952124,2
0.2119923,0.2540634,2
0.1996882,0.3336187,2
0.01765431,0.2835938,2
-0.03328441,0.2526062,2
-0.01831839,0.3470476,2
0.2179035,0.297993,2
0.3656952,0.3261426,2
0.2634306,0.3397673,2
0.3995789,0.301844,2
0.2335862,0.3428402,2
0.372256,0.2816731,2
0.07586206,0.3663437,2
0.3425973,0.3916443,2
-0.06442345,0.3834016,2
0.5474822,0.3989279,2
0.4071622,0.2408357,2
0.2452152,0.394289,2
0.2531871,0.5058381,2
0.288856,0.2709366,2
-0.1036744,0.03308023,2
0.1502715,0.2411484,2
0.3275678,0.3852599,2
0.5235484,0.4345997,2
